"ChEMBL ID"     ;"Name"                                                                               ;"Synonyms"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;"Type"           ;"Max Phase" ;"Molecular Weight" ;"Targets" ;"Bioactivities" ;"AlogP" ;"Polar Surface Area" ;"HBA"  ;"HBD"  ;"#RO5 Violations" ;"#Rotatable Bonds" ;"Passes Ro3" ;"QED Weighted" ;"CX Acidic pKa" ;"CX Basic pKa" ;"CX LogP" ;"CX LogD" ;"Aromatic Rings" ;"Structure Type" ;"Inorganic Flag" ;"Heavy Atoms" ;"HBA (Lipinski)" ;"HBD (Lipinski)" ;"#RO5 Violations (Lipinski)" ;"Molecular Weight (Monoisotopic)" ;"Np Likeness Score" ;"Molecular Species" ;"Molecular Formula" ;"Smiles"                                                                                                                                                                                                                                                                                                                  ;"Inchi Key"
"CHEMBL1256788" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"301.83"           ;"12"      ;"29"            ;"3.51"  ;"23.47"              ;"2"    ;"1"    ;"0"               ;"5"                ;"N"          ;"0.88"         ;"9.23"          ;"10.41"        ;"3.38"    ;"1.79"    ;"1"              ;"MOL"            ;"-1"             ;"19"          ;"2"              ;"1"              ;"0"                          ;"265.1842"                        ;"-0.61"             ;"BASE"              ;"C16H25ClFNO"       ;"CCCN(CCC)[C@H]1CCc2c(F)ccc(O)c2C1.Cl"                                                                                                                                                                                                                                                                                    ;"FKUVCCNCUAFKAH-YDALLXLXSA-N"
"CHEMBL93655"   ;""                                                                                   ;"FPL-64176"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;"Small molecule" ;""          ;"347.41"           ;"44"      ;"104"           ;"4.24"  ;"59.16"              ;"3"    ;"1"    ;"0"               ;"5"                ;"N"          ;"0.55"         ;"11.41"         ;"None"         ;"5.01"    ;"5.01"    ;"3"              ;"MOL"            ;"-1"             ;"26"          ;"4"              ;"1"              ;"0"                          ;"347.1521"                        ;"-0.34"             ;"NEUTRAL"           ;"C22H21NO3"         ;"COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1"                                                                                                                                                                                                                                                                           ;"MDMWHKZANMNXTF-UHFFFAOYSA-N"
"CHEMBL1255748" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"357.62"           ;"10"      ;"16"            ;"2.20"  ;"44.48"              ;"3"    ;"1"    ;"0"               ;"4"                ;"N"          ;"0.86"         ;"None"          ;"9.90"         ;"2.42"    ;"0.02"    ;"1"              ;"MOL"            ;"-1"             ;"15"          ;"3"              ;"2"              ;"0"                          ;"321.0226"                        ;"-0.04"             ;"BASE"              ;"C11H17ClINO2"      ;"COc1cc(CC(C)N)c(OC)cc1I.Cl"                                                                                                                                                                                                                                                                                              ;"QVFDMWGKHUFODK-UHFFFAOYSA-N"
"CHEMBL1256351" ;"FENCLONINE"                                                                         ;"CP-10,188|CP-10188|FENCLONINE|NSC-77370|P-CHLOROPHENYLALANINE, DL-"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;"Small molecule" ;"-1.0"      ;"199.64"           ;"12"      ;"22"            ;"1.29"  ;"63.32"              ;"2"    ;"2"    ;"0"               ;"3"                ;"N"          ;"0.77"         ;"1.85"          ;"9.44"         ;"-0.58"   ;"-0.58"   ;"1"              ;"MOL"            ;"0"              ;"13"          ;"3"              ;"3"              ;"0"                          ;"199.0400"                        ;"0.03"              ;"ZWITTERION"        ;"C9H10ClNO2"        ;"NC(Cc1ccc(Cl)cc1)C(=O)O"                                                                                                                                                                                                                                                                                                 ;"NIGWMJHCCYYCSF-UHFFFAOYSA-N"
"CHEMBL1256871" ;"SOBUZOXANE"                                                                         ;"SOBUZOXANE"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;"Small molecule" ;"-1.0"      ;"514.53"           ;"28"      ;"45"            ;"-0.14" ;"152.30"             ;"12"   ;"0"    ;"2"               ;"11"               ;"N"          ;"0.27"         ;"None"          ;"3.01"         ;"0.83"    ;"0.83"    ;"0"              ;"MOL"            ;"0"              ;"36"          ;"14"             ;"0"              ;"2"                          ;"514.2275"                        ;"-0.40"             ;"NEUTRAL"           ;"C22H34N4O10"       ;"CC(C)COC(=O)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O"                                                                                                                                                                                                                                                        ;"OCOKWVBYZHBHLU-UHFFFAOYSA-N"
"CHEMBL1370662" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"278.35"           ;"16"      ;"24"            ;"3.31"  ;"52.60"              ;"4"    ;"0"    ;"0"               ;"6"                ;"N"          ;"0.75"         ;"None"          ;"None"         ;"4.47"    ;"4.47"    ;"1"              ;"MOL"            ;"-1"             ;"20"          ;"4"              ;"0"              ;"0"                          ;"278.1518"                        ;"-0.28"             ;"None"              ;"C16H22O4"          ;"CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C"                                                                                                                                                                                                                                                                                        ;"MGWAVDBGNNKXQV-UHFFFAOYSA-N"
"CHEMBL664"     ;""                                                                                   ;"Cotinine(15% of the dose)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;"Small molecule" ;""          ;"176.22"           ;"13"      ;"19"            ;"1.37"  ;"33.20"              ;"2"    ;"0"    ;"0"               ;"1"                ;"Y"          ;"0.65"         ;"None"          ;"4.79"         ;"0.21"    ;"0.21"    ;"1"              ;"MOL"            ;"-1"             ;"13"          ;"3"              ;"0"              ;"0"                          ;"176.0950"                        ;"-0.42"             ;"NEUTRAL"           ;"C10H12N2O"         ;"CN1C(=O)CCC1c1cccnc1"                                                                                                                                                                                                                                                                                                    ;"UIKROCXWUNQSPJ-UHFFFAOYSA-N"
"CHEMBL551883"  ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"307.26"           ;"24"      ;"27"            ;"5.75"  ;"0.00"               ;"0"    ;"0"    ;"1"               ;"5"                ;"N"          ;"0.62"         ;"None"          ;"None"         ;"6.82"    ;"6.82"    ;"2"              ;"MOL"            ;"-1"             ;"20"          ;"0"              ;"0"              ;"1"                          ;"306.0942"                        ;"-0.09"             ;"None"              ;"C18H20Cl2"         ;"CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1"                                                                                                                                                                                                                                                                                      ;"QFMDFTQOJHFVNR-UHFFFAOYSA-N"
"CHEMBL1079460" ;""                                                                                   ;"LY-367265"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;"Small molecule" ;""          ;"452.56"           ;"60"      ;"128"           ;"3.91"  ;"59.65"              ;"3"    ;"1"    ;"0"               ;"4"                ;"N"          ;"0.65"         ;"None"          ;"7.63"         ;"3.15"    ;"2.72"    ;"3"              ;"MOL"            ;"-1"             ;"32"          ;"6"              ;"1"              ;"0"                          ;"452.1682"                        ;"-1.08"             ;"NEUTRAL"           ;"C24H25FN4O2S"      ;"O=S1(=O)N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c2cccc3c2N1CCC3"                                                                                                                                                                                                                                                              ;"BJIPVHLRWSDKOS-UHFFFAOYSA-N"
"CHEMBL1200902" ;"THIOTHIXENE HYDROCHLORIDE"                                                          ;"CP-12252-1|NAVANE|THIOTHIXENE HYDROCHLORIDE|THIOTHIXENE HYDROCHLORIDE INTENSOL"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;"Small molecule" ;""          ;"480.10"           ;"15"      ;"30"            ;"3.47"  ;"43.86"              ;"5"    ;"0"    ;"0"               ;"5"                ;"N"          ;"0.60"         ;"None"          ;"8.16"         ;"3.36"    ;"2.54"    ;"2"              ;"MOL"            ;"-1"             ;"30"          ;"5"              ;"0"              ;"0"                          ;"443.1701"                        ;"-1.31"             ;"NEUTRAL"           ;"C23H30ClN3O2S2"    ;"CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1.Cl"                                                                                                                                                                                                                                                                ;"ALDJVABCVUVJGI-SRJUEMFDSA-N"
