smiles,Class
CCCN(CCC)[C@H]1CCc2c(F)ccc(O)c2C1,1
COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1,1
COc1cc(CC(C)N)c(OC)cc1I,1
NC(Cc1ccc(Cl)cc1)C(=O)O,1
CC(C)COC(=O)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O,1
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,1
CN1C(=O)CCC1c1cccnc1,1
CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,1
O=S1(=O)N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c2cccc3c2N1CCC3,1
CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,1
Brc1cccc(-c2ccccc2)c1,1
Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3,1
c1ccc2c(c1)OCC(C1=NCCN1)O2,1
OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,1
Oc1cccc(O)c1O,1
CCCCCCCCn1sccc1=O,1
BrCC(Br)C1CCC(Br)C(Br)C1,1
CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1)OCO3,1
C=C(C)C(=O)OCCCCCCCCCC,1
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,1
Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O,1
NC[C@@H]1O[C@H](C23CC4CC(CC(C4)C2)C3)Cc2c1ccc(O)c2O,1
COc1cccc(OC)c1OCCNCC1COc2ccccc2O1,1
CCCOC(=O)c1c(-c2ccccc2)nc(CC)c(C(=O)SCC)c1CCC,1
O=[N+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,1
COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)C2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,1
OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,1
CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2,1
Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,1
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CC[C@]2(CCCO2)C[C@H]1N1CCCC1,1
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1
O=[N+]([O-])c1ccc2nc(N3CCNCC3)ccc2c1,1
CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,1
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccc(OCc3ccccn3)cc2c(=O)n1-c1ccc(N)cc1,1
CCCN(CCC)[C@@H]1CCc2cccc(O)c2C1,1
CCCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,1
NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,1
CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1,1
CCCCCCCCCc1ccc(O)cc1,1
C1CCC(/N=C(\NC23CC4CC(CC(C4)C2)C3)N2CCOCC2)CC1,1
Clc1ccc(C(Cl)(Cl)Cl)cc1Cl,1
