SMILES,No.,Smiles,activity10,activity20,activity40,activity60,activity80,activity100
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,A1,C=1([C@@H](C(=C(C)NC1C)C(OC)=O)c1cc(ccc1)[N+](=O)[O-])C(OCC)=O,1.0,1.0,1.0,1.0,1.0,1.0
C=C1COc2cc3c(cc2N1C(C)=O)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,A10,C=C6COc5cc4CCN(CCCSc3nnc(c1cccc2nc(C)ccc12)n3C)CCc4cc5N6C(C)=O,1.0,1.0,1.0,1.0,1.0,1.0
CC(C)(O)C(=O)N1CCC(CCN2CCC(N(C(=O)NCc3ccc(C#N)cc3)c3cccc(F)c3)CC2)(c2cccc(F)c2)CC1,A100,N#Cc1ccc(cc1)CNC(=O)N(c1cccc(c1)F)C1CCN(CC1)CCC1(CCN(CC1)C(=O)C(O)(C)C)c1cccc(c1)F,1.0,1.0,1.0,1.0,1.0,1.0
CN(C)Cc1ccc2c(c1)CCC(N(C)C(=O)c1ccc(-c3ccc(F)cc3)cn1)C2,A1000,CN(C)Cc4ccc3C[C@@H](N(C)C(=O)c2ccc(c1ccc(F)cc1)cn2)CCc3c4,1.0,1.0,1.0,1.0,1.0,1.0
COc1cc(F)ccc1-c1cncc(NCc2ccccc2)c1,A1001,COc1cc(F)ccc1c1cncc(c1)NCc1ccccc1,1.0,1.0,1.0,1.0,1.0,1.0
Cc1cc(C)nc(Nc2cc(NCC(N)CC(F)F)cnc2C(N)=O)c1,A1002,FC(C[C@@H](CNc1cnc(c(c1)Nc1cc(C)cc(n1)C)C(=O)N)N)F,1.0,1.0,1.0,1.0,1.0,1.0
O=C(C=Cc1ccc2c(c1)CN(CCc1cnn3ccccc13)C2)NO,A1004,ONC(=O)C=Cc1ccc2c(c1)CN(C2)CCc1cnn2c1cccc2,1.0,1.0,1.0,1.0,1.0,1.0
COCC#Cc1cc(-c2n[nH]c3c2Cc2cc(CN4CCN(C)CC4)ccc2-3)cs1,A1005,COCC#Cc1scc(c1)c1n[nH]c2c1Cc1c2ccc(c1)CN1CCN(CC1)C,1.0,1.0,1.0,1.0,1.0,1.0
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,A1006,CN1CCN(CC1)C2=Nc(cc(Cl)cc3)c3Nc(c24)cccc4,1.0,1.0,1.0,1.0,1.0,1.0
CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)o1,A1007,CCN(C(=O)c1ccc(o1)C1=CC2(CCNCC2)Oc2c1cccc2)CC,1.0,1.0,1.0,1.0,1.0,1.0
CC1CCCN1CCc1ccc2nc(-c3csc(-c4cc(Cl)nc(Cl)c4)n3)ccc2c1,A1013,C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4csc(n4)-c(c5)cc(Cl)nc5Cl,1.0,1.0,1.0,1.0,1.0,1.0
